starting,,,10 avg,3 avg
703071320,703.07132,8806,8802.3,8804
703091099,703.091099,8801,8801.5,8803.333333
703110874,703.110874,8803,8801.4,8803.333333
703130652,703.130652,8802,8801.6,8802
703150432,703.150432,8804,8802.5,8803
703170206,703.170206,8800,8802.7,8802
703189985,703.189985,8799,8802.6,8801
703209765,703.209765,8797,8801.8,8798.666667
703229539,703.229539,8792,8800.7,8796
703249318,703.249318,8802,8800.6,8797
703269097,703.269097,8805,8800.5,8799.666667
703288871,703.288871,8806,8801,8804.333333
703308650,703.30865,8802,8800.9,8804.333333
703328426,703.328426,8807,8801.4,8805
703348203,703.348203,8803,8801.3,8804
703367982,703.367982,8807,8802,8805.666667
703387757,703.387757,8805,8802.6,8805
703407536,703.407536,8813,8804.2,8808.333333
703427316,703.427316,8800,8805,8806
703447090,703.44709,8804,8805.2,8805.666667
703466869,703.466869,8807,8805.4,8803.666667
703486647,703.486647,8807,8805.5,8806
703506424,703.506424,8807,8806,8807
703526201,703.526201,8811,8806.4,8808.333333
703545978,703.545978,8808,8806.9,8808.666667
703565755,703.565755,8807,8806.9,8808.666667
703585534,703.585534,8812,8807.6,8809
703605311,703.605311,8806,8806.9,8808.333333
703625088,703.625088,8807,8807.6,8808.333333
703644867,703.644867,8805,8807.7,8806
703664643,703.664643,8807,8807.7,8806.333333
703684421,703.684421,8805,8807.5,8805.666667
703704200,703.7042,8810,8807.8,8807.333333
703723975,703.723975,8803,8807,8806
703743753,703.743753,8809,8807.1,8807.333333
703763531,703.763531,8810,8807.4,8807.333333
703783307,703.783307,8800,8806.2,8806.333333
703803085,703.803085,8803,8805.9,8804.333333
703822862,703.822862,8805,8805.7,8802.666667
703842639,703.842639,8804,8805.6,8804
703862577,703.862577,8796,8804.5,8801.666667
703882353,703.882353,8800,8804,8800
703902131,703.902131,8804,8803.4,8800
703921910,703.92191,8800,8803.1,8801.333333
703941684,703.941684,8808,8803,8804
703961464,703.961464,8801,8802.1,8803
703981242,703.981242,8798,8801.9,8802.333333
704001017,704.001017,8799,8801.5,8799.333333
704020797,704.020797,8799,8800.9,8798.666667
704040575,704.040575,8800,8800.5,8799.333333
704060350,704.06035,8801,8801,8800
704080129,704.080129,8802,8801.2,8801
704099905,704.099905,8799,8800.7,8800.666667
704119681,704.119681,8798,8800.5,8799.666667
704139461,704.139461,8801,8799.8,8799.333333
704159236,704.159236,8796,8799.3,8798.333333
704179014,704.179014,8796,8799.1,8797.666667
704198794,704.198794,8798,8799,8796.666667
704218568,704.218568,8803,8799.4,8799
704238347,704.238347,8803,8799.7,8801.333333
704258126,704.258126,8804,8800,8803.333333
704277901,704.277901,8799,8799.7,8802
704297679,704.297679,8806,8800.4,8803
704317458,704.317458,8806,8801.2,8803.666667
704337234,704.337234,8803,8801.4,8805
704357012,704.357012,8812,8803,8807
704376790,704.37679,8810,8804.4,8808.333333
704396567,704.396567,8806,8805.2,8809.333333
704416346,704.416346,8801,8805,8805.666667
704436122,704.436122,8802,8804.9,8803
704455899,704.455899,8801,8804.6,8801.333333
704475678,704.475678,8807,8805.4,8803.333333
704495454,704.495454,8803,8805.1,8803.666667
704515231,704.515231,8796,8804.1,8802
704535169,704.535169,8798,8803.6,8799
704554945,704.554945,8797,8802.1,8797
704574723,704.574723,8795,8800.6,8796.666667
704594500,704.5945,8799,8799.9,8797
704614277,704.614277,8802,8800,8798.666667
704634055,704.634055,8800,8799.8,8800.333333
704653831,704.653831,8802,8799.9,8801.333333
704673610,704.67361,8793,8798.5,8798.333333
704693388,704.693388,8796,8797.8,8797
704713163,704.713163,8795,8797.7,8794.666667
704732942,704.732942,8795,8797.4,8795.333333
704752720,704.75272,8799,8797.6,8796.333333
704772495,704.772495,8800,8798.1,8798
704792275,704.792275,8799,8798.1,8799.333333
704812053,704.812053,8800,8797.9,8799.666667
704831828,704.831828,8801,8798,8800
704851607,704.851607,8804,8798.2,8801.666667
704871384,704.871384,8804,8799.3,8803
704891161,704.891161,8798,8799.5,8802
704910940,704.91094,8805,8800.5,8802.333333
704930714,704.930714,8802,8801.2,8801.666667
704950492,704.950492,8801,8801.4,8802.666667
704970272,704.970272,8807,8802.1,8803.333333
704990046,704.990046,8806,8802.8,8804.666667
705009825,705.009825,8806,8803.4,8806.333333
705029605,705.029605,8800,8803.3,8804
705049379,705.049379,8804,8803.3,8803.333333
705069159,705.069159,8799,8802.8,8801
705088936,705.088936,8804,8803.4,8802.333333
705108712,705.108712,8799,8802.8,8800.666667
705128650,705.12865,8797,8802.3,8800
705148426,705.148426,8796,8801.8,8797.333333
705168203,705.168203,8803,8801.4,8798.666667
705187982,705.187982,8804,8801.2,8801
705207757,705.207757,8800,8800.6,8802.333333
705227536,705.227536,8795,8800.1,8799.666667
705247316,705.247316,8802,8799.9,8799
705267090,705.26709,8806,8800.6,8801
705286869,705.286869,8803,8800.5,8803.666667
705306647,705.306647,8802,8800.8,8803.666667
705326424,705.326424,8798,8800.9,8801
705346201,705.346201,8802,8801.5,8800.666667
705365978,705.365978,8801,8801.3,8800.333333
705385755,705.385755,8796,8800.5,8799.666667
705405534,705.405534,8803,8800.8,8800
705425311,705.425311,8808,8802.1,8802.333333
705445088,705.445088,8808,8802.7,8806.333333
705464867,705.464867,8809,8803,8808.333333
705484643,705.484643,8803,8803,8806.666667
705504421,705.504421,8814,8804.2,8808.666667
705524200,705.5242,8809,8805.3,8808.666667
705543975,705.543975,8803,8805.4,8808.666667
705563753,705.563753,8802,8805.5,8804.666667
705583531,705.583531,8803,8806.2,8802.666667
705603307,705.603307,8804,8806.3,8803
705623085,705.623085,8803,8805.8,8803.333333
705643022,705.643022,8806,8805.6,8804.333333
705662799,705.662799,8806,8805.3,8805
705682577,705.682577,8803,8805.3,8805
