,0
45.07,10925,0
45.09,10941,0
45.11,10943,0
45.13,10926,0
45.15,10938,0
45.17,10939,0
45.19,10949,0
45.21,10939,0
45.23,10944,0
45.25,10949,0
45.27,10947,0
45.29,10950,0
45.31,10950,0
45.33,10965,0
45.35,10947,0
45.37,10942,0
45.39,10965,0
45.41,10943,0
45.43,10940,0
45.45,10940,0
45.47,10941,0
45.49,10944,0
45.51,10940,0
45.53,10946,0
45.55,10958,0
45.57,10953,0
45.59,10951,0
45.61,10974,0
45.63,10954,0
45.65,10949,0
45.67,10949,0
45.69,10961,0
45.70,10937,0
45.72,10947,0
45.74,10951,0
45.76,10973,0
45.78,10963,0
45.80,10950,0
45.82,10962,0
45.84,10961,0
45.86,10930,0
45.88,10956,0
45.90,10949,0
45.92,10926,0
45.94,10950,0
45.96,10948,0
45.98,10935,0
46.00,10936,0
46.02,10964,0
46.04,10949,0
46.06,10953,0
46.08,10978,0
46.10,10954,0
46.12,10954,0
46.14,10969,0
46.16,10968,0
46.18,10945,0
46.20,10955,0
46.22,10934,0
46.24,10934,0
46.26,10933,0
46.28,10939,0
46.30,10941,0
46.32,10954,0
46.34,10954,0
46.36,10975,0
46.38,10987,0
46.40,10968,0
46.42,10987,0
46.44,10990,0
46.46,10964,0
46.48,10974,0
46.50,10983,0
46.52,10955,0
46.54,10948,0
46.56,10950,0
46.58,10943,0
46.60,10960,0
46.62,10941,0
46.64,10954,0
46.65,10952,0
46.67,10936,0
46.69,10935,0
46.71,10959,0
46.73,10929,0
46.75,10931,0
46.77,10943,0
46.79,10948,0
46.81,10948,0
46.83,10922,0
46.85,10922,0
46.87,10940,0
46.89,10919,0
46.91,10922,0
46.93,10943,0
46.95,10943,0
46.97,10944,0
46.99,10936,0
47.01,10932,0
47.03,10934,0
47.05,10931,0
47.07,10929,0
47.09,10931,0
47.11,10938,0
47.13,10944,0
47.15,10940,0
47.17,10944,0
47.19,10954,0
47.21,10943,0
47.23,10941,0
47.25,10957,0
47.27,10930,0
47.29,10942,0
47.31,10956,0
47.33,10954,0
47.35,10930,0
47.37,10940,0
47.39,10959,0
47.41,10940,0
47.43,10962,0
47.45,10970,0
47.47,10958,0
47.49,10967,0
47.51,10970,0
47.53,10941,0
47.55,10938,0
47.57,10954,0
47.59,10928,0
47.60,10929,0
47.62,10926,0
47.64,10924,0
47.66,10920,0
47.68,10939,0
47.70,10944,0
47.72,10923,0
47.74,10940,0
47.76,10937,0
47.78,10930,0
47.80,10935,0
47.82,10936,0
47.84,10936,0
47.86,10940,0
47.88,10943,0
47.90,10941,0
47.92,10969,0
47.94,10943,0
47.96,10944,0
47.98,10940,0
48.00,10939,0
48.02,10951,0
48.04,10947,0
48.06,10966,0
48.08,10979,0
48.10,10962,0
48.12,10968,0
48.14,10967,0
48.16,10968,0
48.18,10975,0
48.20,10966,0
48.22,10988,0
48.24,10970,0
48.26,10962,0
48.28,10957,0
48.30,10955,0
48.32,10958,0
48.34,10967,0
48.36,10948,0
48.38,10975,0
48.40,10963,0
48.42,10957,0
48.44,10961,0
48.46,10962,0
48.48,10962,0
48.50,10967,0
48.52,10961,0
48.53,10976,0
48.55,10985,0
48.57,10961,0
48.59,10973,0
48.61,10961,0
48.63,10952,0
48.65,10952,0
48.67,10952,0
48.69,10956,0
48.71,10979,0
48.73,10969,0
48.75,10987,0
48.77,10999,0
48.79,10979,0
48.81,10980,0
48.83,10992,0
48.85,10978,0
48.87,10977,0
48.89,10986,0
48.91,10997,0
48.93,11010,0
48.95,10984,0
48.97,10987,0
48.99,10986,0
49.01,10996,0
49.03,11002,0
49.05,10978,0
49.07,10990,0
49.09,10968,0
49.11,10963,0
49.13,10955,0
49.15,10952,0
49.17,10949,0
49.19,10955,0
49.21,10968,0
49.23,10960,0
49.25,10973,0
49.27,10972,0
49.29,10991,0
49.31,10990,0
49.33,10968,0
49.35,10965,0
49.37,10970,0
49.39,10964,0
49.41,10988,0
49.43,10971,0
49.45,10983,0
49.46,10966,0
49.48,10967,0
49.50,10972,0
49.52,10972,0
49.54,10996,0
49.56,10974,0
49.58,11002,0
49.60,10988,0
49.62,10985,0
49.64,11008,0
49.66,11012,0
49.68,11018,0
49.70,10996,0
49.72,10996,0
49.74,11020,0
49.76,10990,0
49.78,10986,0
49.80,11003,0
49.82,11000,0
49.84,10978,0
49.86,10973,0
49.88,10967,0
49.90,10989,0
49.92,10968,0
49.94,10976,0
49.96,10978,0
49.98,10987,0
50.00,10998,0
50.02,10974,0
50.04,10979,0
50.06,10991,0
50.08,10978,0
50.10,10972,0
50.12,10976,0
50.14,10971,0
50.16,10971,0
50.18,10967,0
50.20,10972,0
50.22,10976,0
50.24,10973,0
50.26,10975,0
50.28,10969,0
50.30,10980,0
50.32,10975,0
50.34,10967,0
50.36,10963,0
50.38,10990,0
50.40,10967,0
50.41,10969,0
50.43,10985,0
50.45,10985,0
50.47,10982,0
50.49,10960,0
50.51,10960,0
50.53,10974,0
50.55,10956,0
50.57,10961,0
50.59,10969,0
50.61,10964,0
50.63,10949,0
50.65,10968,0
50.67,10968,0
50.69,10954,0
50.71,10962,0
50.73,10957,0
50.75,10976,0
50.77,10969,0
50.79,10980,0
50.81,11006,0
50.83,11002,0
50.85,10981,0
50.87,10993,0
50.89,10977,0
50.91,10979,0
50.93,11000,0
50.95,11010,0
50.97,10989,0
50.99,10983,0
51.01,10999,0
51.03,10972,0
51.05,10968,0
51.07,10994,0
51.09,10972,0
51.11,10974,0
51.13,10976,0
51.15,10973,0
51.17,10974,0
51.19,10968,0
51.21,10977,0
51.23,10968,0
51.25,10962,0
51.27,10959,0
51.29,10979,0
51.31,10962,0
51.33,10956,0
