,0
24.23,16383,0
24.25,16383,0
24.27,16383,0
24.29,16383,0
24.31,16383,0
24.33,16383,0
24.35,16383,0
24.37,16383,0
24.39,16383,0
24.41,16383,0
24.43,16383,0
24.45,16383,0
24.47,16383,0
24.49,16383,0
24.51,16383,0
24.53,16383,0
24.55,16383,0
24.57,16383,0
24.59,16383,0
24.61,16383,0
24.63,16383,0
24.65,16383,0
24.67,16383,0
24.69,16383,0
24.71,16383,0
24.73,16383,0
24.75,16383,0
24.77,16383,0
24.79,16383,0
24.81,16383,0
24.83,16383,0
24.85,16383,0
24.87,16383,0
24.89,16383,0
24.91,16383,0
24.92,16383,0
24.94,16383,0
24.96,16383,0
24.98,16383,0
25.00,16383,0
25.02,16383,0
25.04,16383,0
25.06,16383,0
25.08,16383,0
25.10,16383,0
25.12,16383,0
25.14,16383,0
25.16,16383,0
25.18,16383,0
25.20,16383,0
25.22,16383,0
25.24,16383,0
25.26,16383,0
25.28,16383,0
25.30,16383,0
25.32,16383,0
25.34,16383,0
25.36,16383,0
25.38,16383,0
25.40,16383,0
25.42,16383,0
25.44,16383,0
25.46,16383,0
25.48,16383,0
25.50,16383,0
25.52,16383,0
25.54,16383,0
25.56,16383,0
25.58,16383,0
25.60,16383,0
25.62,16383,0
25.64,16383,0
25.66,16383,0
25.68,16383,0
25.70,16383,0
25.72,16383,0
25.74,16383,0
25.76,16383,0
25.77,16383,0
25.79,16383,0
25.81,16383,0
25.83,16383,0
25.85,16383,0
25.87,16383,0
25.89,16383,0
25.91,16383,0
25.93,16383,0
25.95,16383,0
25.97,16383,0
25.99,16383,0
26.01,16383,0
26.03,16383,0
26.05,16383,0
26.07,16383,0
26.09,16383,0
26.11,16383,0
26.13,16383,0
26.15,16383,0
26.17,16383,0
26.19,16383,0
26.21,16383,0
26.23,16383,0
26.25,16383,0
26.27,16383,0
26.29,16383,0
26.31,16383,0
26.33,16383,0
26.35,16383,0
26.37,16383,0
26.39,16383,0
26.41,16383,0
26.43,16383,0
26.45,16383,0
26.47,16383,0
26.49,16383,0
26.51,16383,0
26.53,16383,0
26.55,16383,0
26.57,16383,0
26.59,16383,0
26.61,16383,0
26.62,16383,0
26.64,16383,0
26.66,16383,0
26.68,16383,0
26.70,16383,0
26.72,16383,0
26.74,16383,0
26.76,16383,0
26.78,16383,0
26.80,16383,0
26.82,16383,0
26.84,16383,0
26.86,16383,0
26.88,16383,0
26.90,16383,0
26.92,16383,0
26.94,16383,0
26.96,16383,0
26.98,16383,0
27.00,16383,0
27.02,16383,0
27.04,16383,0
27.06,16383,0
27.08,16383,0
27.10,16383,0
27.12,16383,0
27.14,16383,0
27.16,16383,0
27.18,16383,0
27.20,16383,0
27.22,16383,0
27.24,16383,0
27.26,16383,0
27.28,16383,0
27.30,16383,0
27.32,16383,0
27.34,16383,0
27.36,16383,0
27.38,16383,0
27.40,16383,0
27.42,16383,0
27.44,16383,0
27.46,16383,0
27.47,16383,0
27.49,16383,0
27.51,16383,0
27.53,16383,0
27.55,16383,0
27.57,16383,0
27.59,16383,0
27.61,16383,0
27.63,16383,0
27.65,16383,0
27.67,16383,0
27.69,16383,0
27.71,16383,0
27.73,16383,0
27.75,16383,0
27.77,16383,0
27.79,16383,0
27.81,16383,0
27.83,16383,0
27.85,16383,0
27.87,16383,0
27.89,16383,0
27.91,16383,0
27.93,16383,0
27.95,16383,0
27.97,16383,0
27.99,16383,0
28.01,16383,0
28.03,16383,0
28.05,16383,0
28.07,16383,0
28.09,16383,0
28.11,16383,0
28.13,16383,0
28.15,16383,0
28.17,16383,0
28.19,16383,0
28.21,16383,0
28.23,16383,0
28.25,16383,0
28.27,16383,0
28.29,16383,0
28.31,16383,0
28.32,16383,0
28.34,16383,0
28.36,16383,0
28.38,16383,0
28.40,16383,0
28.42,16383,0
28.44,16383,0
28.46,16383,0
28.48,16383,0
28.50,16383,0
28.52,16383,0
28.54,16383,0
28.56,16383,0
28.58,16383,0
28.60,16383,0
28.62,16383,0
28.64,16383,0
28.66,16383,0
28.68,16383,0
28.70,16383,0
28.72,16383,0
28.74,16383,0
28.76,16383,0
28.78,16383,0
28.80,16383,0
28.82,16383,0
28.84,16383,0
28.86,16383,0
28.88,16383,0
28.90,16383,0
28.92,16383,0
28.94,16383,0
28.96,16383,0
28.98,16383,0
29.00,16383,0
29.02,16383,0
29.04,16383,0
29.06,16383,0
29.08,16383,0
29.10,16383,0
29.12,16383,0
29.14,16383,0
29.16,16383,0
29.17,16383,0
29.19,16383,0
29.21,16383,0
29.23,16383,0
29.25,16383,0
29.27,16383,0
29.29,16383,0
29.31,16383,0
29.33,16383,0
29.35,16383,0
29.37,16383,0
29.39,16383,0
29.41,16383,0
29.43,16383,0
29.45,16383,0
29.47,16383,0
29.49,16383,0
29.51,16383,0
29.53,16383,0
29.55,16383,0
29.57,16383,0
29.59,16383,0
29.61,16383,0
29.63,16383,0
29.65,16383,0
29.67,16383,0
29.69,16383,0
29.71,16383,0
29.73,16383,0
29.75,16383,0
29.77,16383,0
29.79,16383,0
29.81,16383,0
29.83,16383,0
29.85,16383,0
29.87,16383,0
29.89,16383,0
29.91,16383,0
29.93,16383,0
29.95,16383,0
29.97,16383,0
29.99,16383,0
30.01,16383,0
30.02,16383,0
30.04,16383,0
30.06,16383,0
30.08,16383,0
30.10,16383,0
30.12,16383,0
30.14,16383,0
30.16,16383,0
30.18,16383,0
30.20,16383,0
30.22,16383,0
30.24,16383,0
30.26,16383,0
30.28,16383,0
30.30,16383,0
30.32,16383,0
30.34,16383,0
30.36,16383,0
30.38,16383,0
30.40,16383,0
30.42,16383,0
30.44,16383,0
30.46,16383,0
30.48,16383,0
30.50,16383,0
30.52,16383,0
30.54,16383,0
30.56,16383,0
30.58,16383,0
30.60,16383,0
30.62,16383,0
30.64,16383,0
30.66,16383,0
30.68,16383,0
30.70,16383,0
30.72,16383,0
30.74,16383,0
30.76,16383,0
30.78,16383,0
30.80,16383,0
30.82,16383,0
30.84,16383,0
30.86,16383,0
30.87,16383,0
30.89,16383,0
30.91,16383,0
30.93,16383,0
30.95,16383,0
30.97,16383,0
30.99,16383,0
31.01,16383,0
31.03,16383,0
31.05,16383,0
31.07,16383,0
31.09,16383,0
31.11,16383,0
31.13,16383,0
31.15,16383,0
31.17,16383,0
31.19,16383,0
31.21,16383,0
31.23,16383,0
31.25,16383,0
31.27,16383,0
31.29,16383,0
31.31,16383,0
31.33,16383,0
31.35,16383,0
31.37,16383,0
31.39,16383,0
31.41,16383,0
31.43,16383,0
31.45,16383,0
31.47,16383,0
31.49,16383,0
31.51,16383,0
31.53,16383,0
31.55,16383,0
31.57,16383,0
31.59,16383,0
31.61,16383,0
31.63,16383,0
31.65,16383,0
31.67,16383,0
31.69,16383,0
31.71,16383,0
31.72,16383,0
31.74,16383,0
31.76,16383,0
31.78,16383,0
31.80,16383,0
31.82,16383,0
31.84,16383,0
31.86,16383,0
31.88,16383,0
31.90,16383,0
31.92,16383,0
31.94,16383,0
31.96,16383,0
31.98,16383,0
32.00,16383,0
32.02,16383,0
32.04,16383,0
32.06,16383,0
32.08,16383,0
32.10,16383,0
32.12,16383,0
32.14,16383,0
32.16,16383,0
32.18,16383,0
32.20,16383,0
32.22,16383,0
32.24,16383,0
32.26,16383,0
32.28,16383,0
32.30,16383,0
32.32,16383,0
32.34,16383,0
32.36,16383,0
32.38,16383,0
32.40,16383,0
32.42,16383,0
32.44,16383,0
32.46,16383,0
32.48,16383,0
32.50,16383,0
32.52,16383,0
32.54,16383,0
32.56,16383,0
32.57,16383,0
32.59,16383,0
32.61,16383,0
32.63,16383,0
32.65,16383,0
32.67,16383,0
32.69,16383,0
32.71,16383,0
32.73,16383,0
32.75,16383,0
32.77,16383,0
32.79,16383,0
32.81,16383,0
32.83,16383,0
32.85,16383,0
32.87,16383,0
32.89,16383,0
32.91,16383,0
32.93,16383,0
32.95,16383,0
32.97,16383,0
32.99,16383,0
33.01,16383,0
33.03,16383,0
33.05,16383,0
33.07,16383,0
33.09,16383,0
33.11,16383,0
33.13,16383,0
33.15,16383,0
33.17,16383,0
33.19,16383,0
33.21,16383,0
33.23,16383,0
33.25,16383,0
33.27,16383,0
33.29,16383,0
33.31,16383,0
33.33,16383,0
33.35,16383,0
33.37,16383,0
33.39,16383,0
33.41,16383,0
33.42,16383,0
33.44,16383,0
33.46,16383,0
33.48,16383,0
33.50,16383,0
33.52,16383,0
33.54,16383,0
33.56,16383,0
33.58,16383,0
33.60,16383,0
33.62,16383,0
33.64,16383,0
33.66,16383,0
33.68,16383,0
33.70,16383,0
33.72,16383,0
33.74,16383,0
33.76,16383,0
33.78,16383,0
33.80,16383,0
33.82,16383,0
33.84,16383,0
33.86,16383,0
33.88,16383,0
33.90,16383,0
33.92,16383,0
33.94,16383,0
33.96,16383,0
33.98,16383,0
34.00,16383,0
34.02,16383,0
34.04,16383,0
34.06,16383,0
34.08,16383,0
34.10,16383,0
34.12,16383,0
34.14,16383,0
34.16,16383,0
34.18,16383,0
34.20,16383,0
34.22,16383,0
34.24,16383,0
34.26,16383,0
34.27,16383,0
34.29,16383,0
34.31,16383,0
34.33,16383,0
34.35,16383,0
34.37,16383,0
34.39,16383,0
34.41,16383,0
34.43,16383,0
34.45,16383,0
34.47,16383,0
34.49,16383,0
34.51,16383,0
34.53,16383,0
34.55,16383,0
34.57,16383,0
34.59,16383,0
34.61,16383,0
34.63,16383,0
34.65,16383,0
34.67,16383,0
34.69,16383,0
34.71,16383,0
34.73,16383,0
34.75,16383,0
34.77,16383,0
34.79,16383,0
34.81,16383,0
34.83,16383,0
34.85,16383,0
34.87,16383,0
34.89,16383,0
34.91,16383,0
34.93,16383,0
34.95,16383,0
34.97,16383,0
34.99,16383,0
35.01,16383,0
35.03,16383,0
35.05,16383,0
35.07,16383,0
35.09,16383,0
35.11,16383,0
35.12,16383,0
35.14,16383,0
35.16,16383,0
35.18,16383,0
35.20,16383,0
35.22,16383,0
35.24,16383,0
35.26,16383,0
35.28,16383,0
35.30,16383,0
35.32,16383,0
35.34,16383,0
35.36,16383,0
35.38,16383,0
35.40,16383,0
35.42,16383,0
35.44,16383,0
35.46,16383,0
35.48,16383,0
35.50,16383,0
35.52,16383,0
35.54,16383,0
35.56,16383,0
35.58,16383,0
35.60,16383,0
35.62,16383,0
35.64,16383,0
35.66,16383,0
35.68,16383,0
35.70,16383,0
35.72,16383,0
35.74,16383,0
35.76,16383,0
35.78,16383,0
35.80,16383,0
35.82,16383,0
35.84,16383,0
35.86,16383,0
35.88,16383,0
35.90,16383,0
35.92,16383,0
35.94,16383,0
35.96,16383,0
35.97,16383,0
35.99,16383,0
36.01,16383,0
36.03,16383,0
36.05,16383,0
36.07,16383,0
36.09,16383,0
36.11,16383,0
36.13,16383,0
36.15,16383,0
36.17,16383,0
36.19,16383,0
36.21,16383,0
36.23,16383,0
36.25,16383,0
36.27,16383,0
36.29,16383,0
36.31,16383,0
36.33,16383,0
36.35,16383,0
36.37,16383,0
36.39,16383,0
36.41,16383,0
36.43,16383,0
36.45,16383,0
36.47,16383,0
36.49,16383,0
36.51,16383,0
36.53,16383,0
36.55,16383,0
36.57,16383,0
36.59,16383,0
36.61,16383,0
36.63,16383,0
36.65,16383,0
36.67,16383,0
36.69,16383,0
36.71,16383,0
36.73,16383,0
36.75,16383,0
36.77,16383,0
36.79,16383,0
36.81,16383,0
36.82,16383,0
36.84,16383,0
36.86,16383,0
36.88,16383,0
36.90,16383,0
36.92,16383,0
36.94,16383,0
36.96,16383,0
36.98,16383,0
37.00,16383,0
37.02,16383,0
37.04,16383,0
37.06,16383,0
37.08,16383,0
37.10,16383,0
37.12,16383,0
37.14,16383,0
37.16,16383,0
37.18,16383,0
37.20,16383,0
37.22,16383,0
37.24,16383,0
37.26,16383,0
37.28,16383,0
37.30,16383,0
37.32,16383,0
37.34,16383,0
37.36,16383,0
37.38,16383,0
37.40,16383,0
37.42,16383,0
37.44,16383,0
37.46,16383,0
37.48,16383,0
37.50,16383,0
37.52,16383,0
37.54,16383,0
37.56,16383,0
37.58,16383,0
37.60,16383,0
37.62,16383,0
37.64,16383,0
37.66,16383,0
37.67,16383,0
37.69,16383,0
37.71,16383,0
37.73,16383,0
37.75,16383,0
37.77,16383,0
37.79,16383,0
37.81,16383,0
37.83,16383,0
37.85,16383,0
37.87,16383,0
37.89,16383,0
37.91,16383,0
37.93,16383,0
37.95,16383,0
37.97,16383,0
37.99,16383,0
38.01,16383,0
38.03,16383,0
38.05,16383,0
38.07,16383,0
38.09,16383,0
38.11,16383,0
38.13,16383,0
38.15,16383,0
38.17,16383,0
38.19,16383,0
38.21,16383,0
38.23,16383,0
38.25,16383,0
38.27,16383,0
38.29,16383,0
38.31,16383,0
38.33,16383,0
38.35,16383,0
38.37,16383,0
38.39,16383,0
38.41,16383,0
38.43,16383,0
38.45,16383,0
38.47,16383,0
38.49,16383,0
38.51,16383,0
38.52,16383,0
38.54,16383,0
38.56,16383,0
38.58,16383,0
38.60,16383,0
38.62,16383,0
38.64,16383,0
38.66,16383,0
38.68,16383,0
38.70,16383,0
38.72,16383,0
38.74,16383,0
38.76,16383,0
38.78,16383,0
38.80,16383,0
38.82,16383,0
38.84,16383,0
38.86,16383,0
38.88,16383,0
38.90,16383,0
38.92,16383,0
38.94,16383,0
38.96,16383,0
38.98,16383,0
39.00,16383,0
39.02,16383,0
39.04,16383,0
39.06,16383,0
39.08,16383,0
39.10,16383,0
39.12,16383,0
39.14,16383,0
39.16,16383,0
39.18,16383,0
39.20,16383,0
39.22,16383,0
39.24,16383,0
39.26,16383,0
39.28,16383,0
39.30,16383,0
39.32,16383,0
39.34,16383,0
39.36,16383,0
39.38,16383,0
39.39,16383,0
39.41,16383,0
39.43,16383,0
39.45,16383,0
39.47,16383,0
39.49,16383,0
39.51,16383,0
39.53,16383,0
39.55,16383,0
39.57,16383,0
39.59,16383,0
39.61,16383,0
39.63,16383,0
39.65,16383,0
39.67,16383,0
39.69,16383,0
39.71,16383,0
39.73,16383,0
39.75,16383,0
39.77,16383,0
39.79,16383,0
39.81,16383,0
39.83,16383,0
39.85,16383,0
39.87,16383,0
39.89,16383,0
39.91,16383,0
39.93,16383,0
39.95,16383,0
39.97,16383,0
39.99,16383,0
40.01,16383,0
40.03,16383,0
40.05,16383,0
40.07,16383,0
40.09,16383,0
40.11,16383,0
40.13,16383,0
40.15,16383,0
40.17,16383,0
40.19,16383,0
40.21,16383,0
40.23,16383,0
40.24,16383,0
40.26,16383,0
40.28,16383,0
40.30,16383,0
40.32,16383,0
40.34,16383,0
40.36,16383,0
40.38,16383,0
40.40,16383,0
40.42,16383,0
40.44,16383,0
40.46,16383,0
40.48,16383,0
40.50,16383,0
40.52,16383,0
40.54,16383,0
40.56,16383,0
40.58,16383,0
40.60,16383,0
40.62,16383,0
40.64,16383,0
40.66,16383,0
40.68,16383,0
40.70,16383,0
40.72,16383,0
40.74,16383,0
40.76,16383,0
40.78,16383,0
40.80,16383,0
40.82,16383,0
40.84,16383,0
40.86,16383,0
40.88,16383,0
40.90,16383,0
40.92,16383,0
40.94,16383,0
40.96,16383,0
40.98,16383,0
41.00,16383,0
41.02,16383,0
41.04,16383,0
41.06,16383,0
41.07,16383,0
41.09,16383,0
41.11,16383,0
41.13,16383,0
41.15,16383,0
41.17,16383,0
41.19,16383,0
41.21,16383,0
41.23,16383,0
41.25,16383,0
41.27,16383,0
41.29,16383,0
41.31,16383,0
41.33,16383,0
41.35,16383,0
41.37,16383,0
41.39,16383,0
41.41,16383,0
41.43,16383,0
41.45,16383,0
41.47,16383,0
41.49,16383,0
41.51,16383,0
41.53,16383,0
41.55,16383,0
41.57,16383,0
41.59,16383,0
41.61,16383,0
41.63,16383,0
41.65,16383,0
41.67,16383,0
41.69,16383,0
41.71,16383,0
41.73,16383,0
41.75,16383,0
41.77,16383,0
41.79,16383,0
41.81,16383,0
41.83,16383,0
41.85,16383,0
41.87,16383,0
41.89,16383,0
41.91,16383,0
41.93,16383,0
41.94,16383,0
41.96,16383,0
41.98,16383,0
42.00,16383,0
42.02,16383,0
42.04,16383,0
42.06,16383,0
42.08,16383,0
42.10,16383,0
42.12,16383,0
42.14,16383,0
42.16,16383,0
42.18,16383,0
42.20,16383,0
42.22,16383,0
42.24,16383,0
42.26,16383,0
42.28,16383,0
42.30,16383,0
42.32,16383,0
42.34,16383,0
42.36,16383,0
42.38,16383,0
42.40,16383,0
42.42,16383,0
42.44,16383,0
42.46,16383,0
42.48,16383,0
42.50,16383,0
42.52,16383,0
42.54,16383,0
42.56,16383,0
42.58,16383,0
42.60,16383,0
42.62,16383,0
42.64,16383,0
42.66,16383,0
42.68,16383,0
42.70,16383,0
42.72,16383,0
42.74,16383,0
42.76,16383,0
42.77,16383,0
42.79,16383,0
42.81,16383,0
42.83,16383,0
42.85,16383,0
42.87,16383,0
42.89,16383,0
42.91,16383,0
42.93,16383,0
42.95,16383,0
42.97,16383,0
42.99,16383,0
43.01,16383,0
43.03,16383,0
43.05,16383,0
43.07,16383,0
43.09,16383,0
43.11,16383,0
43.13,16383,0
43.15,16383,0
43.17,16383,0
43.19,16383,0
43.21,16383,0
43.23,16383,0
43.25,16383,0
43.27,16383,0
43.29,16383,0
43.31,16383,0
43.33,16383,0
43.35,16383,0
43.37,16383,0
43.39,16383,0
43.41,16383,0
43.43,16383,0
43.45,16383,0
43.47,16383,0
43.49,16383,0
43.51,16383,0
43.53,16383,0
43.55,16383,0
43.57,16383,0
43.59,16383,0
43.61,16383,0
43.62,16383,0
43.64,16383,0
43.66,16383,0
43.68,16383,0
43.70,16383,0
43.72,16383,0
43.74,16383,0
43.76,16383,0
43.78,16383,0
43.80,16383,0
43.82,16383,0
43.84,16383,0
43.86,16383,0
43.88,16383,0
43.90,16383,0
43.92,16383,0
43.94,16383,0
43.96,16383,0
43.98,16383,0
44.00,16383,0
44.02,16383,0
44.04,16383,0
44.06,16383,0
44.08,16383,0
44.10,16383,0
44.12,16383,0
44.14,16383,0
44.16,16383,0
44.18,16383,0
